,Thực tế,Dự đoán,MAPE
0,25.108043352763,26.156223,4.1746764
1,25.3426267,26.008745,2.6284513
2,24.09095662,24.779795,2.8593261
3,24.80228341,24.955265,0.61680126
4,27.2375466,26.997871,0.87994534
5,31.21757673,30.673658,1.7423474
6,26.70100333,26.830946,0.48665562
7,19.99260979,20.256361,1.3192475
8,19.08938993,19.148043,0.3072538
9,20.01462489,19.567884,2.2320733
10,22.48720659,21.952686,2.3770008
11,18.46873671,18.614428,0.78885156
12,16.2071667,16.12411,0.51247334
13,23.14017328,22.30079,3.6273808
14,24.44770653,23.173119,5.2135267
15,24.72495015,23.961563,3.0875194
16,22.73539333,22.257957,2.0999682
17,23.60392666,22.954098,2.7530582
18,19.86876329,19.25075,3.1104774
19,22.22236334,21.676167,2.4578664
20,21.70983003,21.860834,0.69555956
21,19.89395492,19.203106,3.4726593
22,16.68412326177,17.260607,3.4552774
23,22.83767668,23.235058,1.7400229
24,24.51367016,24.24481,1.0967752
25,28.42889996,28.194258,0.8253644
26,23.43217322,23.383547,0.20751788
27,27.79883658,27.865469,0.23969789
28,23.56864001,23.478666,0.3817507
29,29.17928658,28.869818,1.0605785
30,30.56348661,30.110697,1.4814714
31,27.68363991,28.076777,1.4201058
32,26.03208682,25.957525,0.2864237
33,21.70172329,20.656036,4.8184505
34,29.57988014,28.020533,5.271648
35,32.10316793,30.581705,4.7392936
36,34.5989141,34.086777,1.4802152
37,35.29789264,34.298492,2.8313334
38,33.17630316,31.821676,4.083118
39,31.83350677,31.73701,0.30313495
40,32.4121933,32.688198,0.8515461
41,27.39247646,26.562948,3.0283089
42,25.63666986,25.949461,1.2200954
43,10.809503428141,11.081188,2.513387
44,20.89470663,21.889723,4.7620487
45,12.12131012,11.773099,2.8727198
46,16.5560133,16.807573,1.5194492
47,12.02100322,11.965267,0.46365172
48,23.40143668,24.506113,4.720553
49,18.48656995,20.515993,10.977821
50,8.579290009,9.3588505,9.086534
51,12.86532335,14.409874,12.005535
52,15.0319266,16.129639,7.302541
53,12.60158663,13.118602,4.102781
54,16.62986368,17.755407,6.768207
55,22.13521671,23.140343,4.54085
56,23.25378304,24.961843,7.3453045
57,30.63997002,31.076971,1.4262425
58,33.56863185,34.314438,2.2217398
59,33.32426993,34.02816,2.1122496
60,34.10488358,34.12993,0.07343079
61,34.27981319,34.11828,0.47122008
62,35.1756693,34.235077,2.6739895
63,35.51971256,34.471313,2.951603
64,35.33202303,34.35038,2.7783399
65,35.05479145,34.23922,2.3265603
66,34.44850453,34.18627,0.76123405
67,34.75852821,34.46656,0.83999324
68,35.54984989,34.45838,3.0702486
69,35.52598213,34.466118,2.983349
70,35.69621964,34.446785,3.5001895
71,34.34828447,34.438316,0.2621111
72,34.14376068,34.430035,0.83843714
73,35.7963998,34.42292,3.8369167
74,35.63755417,34.41497,3.4306054
75,33.91294519,34.411705,1.4707075
76,35.53669573,34.420467,3.1410627
77,35.34777849,34.4479,2.545788
78,34.85757273,34.463917,1.1293318
79,34.76971677,34.462734,0.8829061
80,32.21606007,34.295155,6.4535947
81,15.84994332,15.2206745,3.9701633
82,32.50788031,34.282307,5.458447
83,34.95227305,34.471405,1.3757882
84,26.33384696,28.200579,7.0887165
85,27.16851594,28.792078,5.9758945
86,14.45405328,14.046566,2.8191879
87,32.17598337,32.61387,1.3609072
88,33.06445688,34.470135,4.251326
89,34.4666832,34.486156,0.05650103
90,35.46197875,34.454483,2.8410592
91,31.48612347,30.354475,3.5941198
92,29.01785018,28.316156,2.4181478
93,18.53879652,17.311037,6.6226535
94,11.88622665,12.716402,6.984348
95,17.53135338,18.693546,6.6292276
96,26.31918996,25.575092,2.8272026
97,9.983854848,10.9131565,9.308041
98,8.451093245,8.848361,4.7007804
99,18.24736331,16.858215,7.6128736
100,27.56883348,25.542177,7.351261
101,26.22738123,26.855703,2.3956742
102,4.63829,4.2347007,8.701251
103,4.412199982,4.4331965,0.47587535
104,11.54596329,12.819992,11.034409
105,14.29878168,14.922571,4.362538
106,21.16392349,19.899366,5.975059
107,14.70018055,14.316044,2.6131456
108,9.736323341,9.236399,5.134635
109,9.538833316,9.299348,2.5106397
110,14.39263331,13.767576,4.342897
111,9.00732336,9.07295,0.7285971
112,12.41856,11.491101,7.468328
113,18.76230949,18.16834,3.1657581
114,21.51925983,20.891903,2.91533
115,17.55596329,16.893133,3.775528
116,24.77128321,23.737448,4.1735277
117,28.54983336,26.642076,6.6821995
118,23.63097318,23.165102,1.9714456
